Grapheme	IPA	SCA	FREQUENCY	Frequence	EXAMPLES	Codepoints
ɔ	ɔ	U	197	188	kɔliŋɔ-ku;kɔliŋɔ-ku;ɔnnɔ-ˀu;ɔnnɔ-ˀu;nunɔ-ˀu	U+0254
o:	oː	U	1	NULL	tˢo:tˢo	NULL
oo	oː	U	3	4	loono-lima;woo-ᵑgu;ᵐboor	U+006f U+006f
o·	oˑ	U	2	NULL	no·p;to·pu	NULL
o̥	o̥	U	6	6	a-tano̥;yato̥;maliatano̥;keiko̥;kaiko̥	U+006f U+0325
o‧	oˑ	U	40	NULL	mo‧-ˀu;to‧ro;natamo‧l;ma‧le_inalo‧;simo‧li	NULL
ɔ:	ɔː	U	5	4	pɔ:;xɔčɔ-pɔ:;mɔ:ˀe;fɔ:tal;wukɔ:	U+0254 U+003a
ɔː	ɔː	U	2	2	nɔːwɔː;nɔːwɔː	U+0254 U+02d0
ɔ‧	ɔˑ	U	11	NULL	fɔ‧wa;mɔ‧ru;laβɔ‧;mɔ-fɔ‧k;mɔ‧mansna	NULL
w	w	W	3055	2802	wulu-k;wuli-ŋ;war-lu-k;bwozo-;bwa-ŋsu-	U+0077
ʷ	w	W	1	NULL	βanua_uluʷou	NULL
w̥	w̥	W	40	33	nowotaw̥a;naw̥i-na-mta-k;naw̥æŋəni;nəw̥akən;nə-mʷalw̥al	U+0077 U+0325
ᵐw	ⁿw	W	2	2	a-ᵐwanai;ɣa-ᵐwosi	U+1d50 U+0077
u	u	Y	16762	16240	kʷuti-k;n-uyu-k;n-uyu-k;kʷutu-k;kʷutu-k	U+0075
ü	y	Y	223	163	müⁿdü-k;müⁿdü-k;kʷœtü-k;βülü-k;βülü-k	U+00fc
uu	uː	Y	0	12		U+0075 U+0075
u̥	u̥	Y	6	6	namu̥;pur-mæru̥;mʷolasu̥;tamorelu̥;etelu̥	U+0075 U+0325
u‧	uˑ	Y	58	NULL	hu‧;yu‧;tukuᵐbu‧;n-u‧sin;ləlu‧ŋ	NULL
-	+	_	15504	21744	kʷuti-k;n-uyu-k;n-uyu-k;toiŋo-k;miti-k	U+002d
_	+	_	1274	NULL	ni-βil_pat-me;n-il_pəti-k;βilu_par-u;βilu_paru-mʷa;ilu_pʷa-u	NULL
-_	+	_	4	NULL	pisu-_lapa;ate-_gu;lima-_hi_matua-;lima-_hi_marau-	NULL
_-	+	_	49	NULL	ni_-ᵐboˀoi;i_-meremer;i_-metemet;i_-mamal;i_-metmet	NULL
a-‧	aˑ +	A _	4	NULL	na-‧ðai;na-‧di;na-‧ðasne;na-‧ðe	NULL
