ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Locality,Comment,Number,Region,FullName,Collector,SubFamily,Group,SubGroup
tambotalo,Tambotalo,tamb1253,Tambotalo,tls,Papunesia,-15.4824040332327,167.113336531803,Austronesian,Santo,,64,,Tambotalo,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
sakao,Sakao,saka1289,Wanohe,sku,Papunesia,-15.0490474108114,167.071003679487,Austronesian,Santo,,65,,Sakao,J.Guy,New Hebrides,East Santo,Sakao
lorediakarkar,Lorediakarkar,lore1244,Nethalp,lnn,Papunesia,-15.2338405671347,167.15238768346,Austronesian,Santo,,66,,Lorediakarkar,J.Guy,New Hebrides,East Santo,South-East Santo
sharkbayi,Shark Bay I,shar1244,Ngen,ssv,Papunesia,-15.255284,167.138859,Austronesian,Santo,,67,,Shark Bay I,J.Guy,New Hebrides,East Santo,South-East Santo
sharkbayii,Shark Bay II,shar1244,Ngen,ssv,Papunesia,-15.255284,167.138859,Austronesian,Santo,,68,,Shark Bay II,D.T.Tryon,New Hebrides,East Santo,South-East Santo
mafea,Mafea,mafe1237,Mafea,mkv,Papunesia,-15.4316,167.241,Austronesian,Santo,,69,,Mafea,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
tutuba,Tutuba,tutu1241,Tutuba,tmi,Papunesia,-15.580667,167.268889,Austronesian,Santo,,70,,Tutuba,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
aore,Aore,aore1237,Aore,aor,Papunesia,-15.5753,167.166,Austronesian,Santo,,71,,Aore,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
malonorth,Malo North,malo1243,Tamambo,mla,Papunesia,-15.6835,167.16,Austronesian,Malo,,72,,Malo North,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
malosouth,Malo South,malo1243,Tamambo,mla,Papunesia,-15.6835,167.16,Austronesian,Malo,,73,,Malo South,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
tangoa,Tangoa,tang1347,Movono,tgp,Papunesia,-15.6129934561443,167.030319980825,Austronesian,Santo,,74,,Tangoa,J.Guy,New Hebrides,North & Central New Hebrides,West Santo
araki,Araki,arak1252,Araki,akr,Papunesia,-15.6282410238115,166.952469820401,Austronesian,Santo,,75,,Araki,D.T.Tryon,New Hebrides,North & Central New Hebrides,West Santo
axamb,Axamb,axam1237,Axamb,ahb,Papunesia,-16.5179618026664,167.65349146808,Austronesian,Malekula,,76,,Axamb,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
letemboi,Letemboi,lete1241,Letemboi-Repanbitip,nms,Papunesia,-16.4195911019389,167.597652337063,Austronesian,Malekula,,77,,Letemboi,J.M.Charpentier,New Hebrides,Malekula Interior,Small Nambas
maxbaxo,Maxbaxo,avok1244,Avok,,Papunesia,-16.5113095154736,167.706468376415,Austronesian,Malekula,,78,,Maxbaxo,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
avok,Avok,avok1244,Avok,,Papunesia,-16.5412658970696,167.786037603039,Austronesian,Malekula,,79,,Avok,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
maskelynes,Maskelynes,mask1242,Maskelynes,klv,Papunesia,-16.5373789318227,167.850649075278,Austronesian,Malekula,,80,,Maskelynes,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
portsandwich,Port Sandwich,port1285,Port Sandwich,psw,Papunesia,-16.4410617299729,167.786304428957,Austronesian,Malekula,,81,,Port Sandwich,D.T.Tryon,New Hebrides,North & Central New Hebrides,Malekula Coastal
